"Link","Dam Name","Other Dam Name","NIDID","Inspection Date","Owner Type","Owner Name","NID Height (Ft.)","NID Storage","Primary Purpose","All Purposes","Dam Type","River","City","Distance","County","State","Congressional District","Congressional Rep.","Permitting Authority","Inspection Authority","Enforcement Authority","Eap Last Rev Date","Lat","Lon"
"","MIRROR LAKE DIKE","-","MA03272","08/09/2007","Local Government","TOWN OF NORFOLK","9","400","Recreation","Recreation","Earth","TRIBUTARY OF STONY BROOK","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.319775","42.09141667"
"","MILL RIVER DAM","-","MA03407","-","Private","-","43","2200","-","-","-","EAST BRANCH MILL RIVER","-","0","-","MA","MA01","Richard E. Neal (D)","N","N","N","-","-72.731605","42.434866"
"","PAINTSHOP POND DAM","-","MA03213","06/29/2009","Private","WELLESLEY COLLEGE","12","61","Recreation","Recreation","Earth","WABAN BROOK","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.316","42.292"
"","PATCH POND DAM","-","MA03341","05/20/2015","Local Government","CITY OF WORCESTER, DEPARTMENT OF PUBLIC WORKS & PARKS","12","60","Other","Other","-","TATNUCK BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.849108","42.263273"
"","OCTOBER MT. LAKE DIKE","PL-566 - FLOOD CONTROL SITE","MA03281","06/06/2014","State","DCR - DEPT. OF CONSERVATION & RECREATION","20","1460","Flood Control","Flood Control, Recreation, Fish and Wildlife Pond","Earth","TRIBUTARY OF WASHINGTON MT BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","06/02/2014","-73.179367","42.344186"
"","HIGHLAND COMMONS POND B DAM & DIKE","-","MA03377","-","Private","HIGHLAND COMMONS ASSOCIATES, LLC","0","0","-","-","-","-","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","-","-71.598764","42.393737"
"","MIDDLE POND DAM #4","-","MA03275","05/13/2014","State","DCR - DEPT. OF CONSERVATION & RECREATION","16","380","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","Earth","TRIBUTARY TO FURNACE BROOK","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-70.992594","41.86819"
"","SAND POND DAM","-","MA03144","-","Private","-","8","104.5","-","-","-","-","-","0","-","MA","MA09","William R. Keating (D)","N","N","N","-","-70.1081","41.68839296"
"","SIBLEY RESERVOIR DAM","-","MA03362","06/03/2015","Private","SIBLEY RESERVOIR LLC","18.5","400","Other","Other","Earth","TRIBUTARY TO SPRING BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.753277","42.161764"
"","COLLINS POND DAM","-","MA03181","05/26/2011","State","DCR - DEPT. OF CONSERVATION & RECREATION","10","32.5","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","-","TRIBUTARY OF SKUG RIVER","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","-","-71.1078553","42.61097217"
