"Link","Dam Name","Other Dam Name","NIDID","Inspection Date","Owner Type","Owner Name","NID Height (Ft.)","NID Storage","Primary Purpose","All Purposes","Dam Type","River","City","Distance","County","State","Congressional District","Congressional Rep.","Permitting Authority","Inspection Authority","Enforcement Authority","Eap Last Rev Date","Zoom To"
"","HAWKINS POND","FOUNTAIN SPRING POND","RI03106","12/14/2011","Private","-","10","132","Recreation","Recreation","-","REAPER BROOK","SMITHFIELD","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.54502104","41.86282347"
"","TARKILN POND","-","RI00308","-","-","BURRILLVILLE, TOWN OF","14","110","Recreation","Recreation","-","TARKILN BROOK","NORTHSMITHFIELD","3","PROVIDENCE","RI","RI02","James R. Langevin (D)","N","Y","N","-","-71.59819799","41.96463779"
"","GREENVILLE MILL POND","-","RI04324","-","Private","GREENVILLE PROPERTIES, INC.","13","50","Other","Other","-","STILLWATER RIVER","SMITHFIELD","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","N","Y","N","-","-71.57148741","41.87742233"
"","TODD'S POND","-","RI04261","10/28/2010","Private","PAUL R & KAREN A HAZARD","10","75","-","-","-","CHERRY BROOK","NORTH SMITHFIELD","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.53786468","41.96775816"
"","HARRIS POND","-","RI03901","09/06/2012","Local Government","WOONSOCKET WATER DIVISION","40","2850","Water Supply","Water Supply","-","MILL RIVER","WOONSOCKET","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.50681303","42.01641079"
"","HARRISVILLE POND","-","RI00303","-","-","REMINGTON, CLINTON O., III","9","840","Recreation","Recreation","-","PASCOAG RIVER","BURRILLVILLE","0","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.67486571","41.96574024"
"","MOFFETT POND","-","RI04237","12/08/2011","-","LINCOLN, TOWN OF","10","5","Other","Other","-","MOSHASSUCK RIVER","LINCOLN","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.42518619","41.90509795"
"","COOMER LAKE","-","RI01305","-","Local Government","PROVIDENCE WATER SUPPLY BOARD","9","86","Recreation","Water Supply, Recreation","-","PEEPTOAD BROOK","GLOCESTER","3","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.62326048","41.87953187"
"","INDIAN RUN","-","RI04391","-","Local Government","SOUTH KINGSTOWN, TOWN OF","8","0","-","-","-","INDIAN RUN","-","0","WASHINGTON","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.48743","41.44471"
"","WERTZ + VIALL POND","-","RI02302","-","Private","RIDEM FISH AND WILDLIFE","10","68","Recreation","Recreation","-","WANNACHECOMECUT BROOK","NORTH KINGSTOWN","-","WASHINGTON","RI","RI02","James R. Langevin (D)","N","Y","N","-","-71.44336","41.54097"
"","OAKLAND POND","-","RI00312","-","Private","COVE MACHINERY CO.","18","160","-","-","-","BRANCH RIVER","BURRILLVILLE","2","PROVIDENCE","RI","RI02","James R. Langevin (D)","N","Y","N","-","-71.64189152","41.95983507"
"","SUCKER BROOK BRIDGE POND","-","RI04166","09/12/2003","Private","RI DOT DIVISION OF MAINTENANCE","16","15","Other","Other","-","SUCKER BROOK","GLOCESTER","0","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.66965488","41.9260521"
